EXPOCODE,adjustment,inversion,inversion_full,preadjustment,uncertainties,offsets_preadj,offsets_preadj_u,offsets_post,offsets_post_u,numberofxovers,trends_pre,trends_adj,intercept_pre,intercept_post
18DD19920203,4.082182410031923,4.082182410031923,4.497521476115162,0.0,1.745763108181857,-4.06049072323422,0.7464678953170619,-2.6719042302445936e-16,0.3684732740468411,24.0,0.0,0.0,-3.4097160714368426,-0.23357840775813482
18DD19920908,2.72712358983915,2.72712358983915,3.0623024746935092,0.0,1.4061872254732624,-2.1160495125761036,0.5672800357997565,1.621036201808477e-16,0.2768829762747603,36.0,0.0,0.0,-1.884657015860574,-0.33070679749927134
18DD19930226,0.0,0.0,2.0621419868833244,0.0,0.7640779603912843,-0.5970248708067765,1.1072296900627663,-1.9468430434764599,0.7640779603912843,12.0,0.0,0.0,-0.5012793299482361,-2.266763944069934
18DD19940510,0.0,0.0,1.2864470434260962,0.0,0.44775598559803803,0.01927307733875705,0.7359397331425532,-0.6736434651816654,0.44775598559803803,30.0,0.12057650565743785,0.0,0.668646631088761,-1.028507819499816
18DD19940906,3.529448683487909,3.529448683487909,4.111862316290032,0.0,1.967948181125603,-2.631075813104303,0.8400428083710303,-1.8965461689294532e-16,0.5054136494396991,11.0,0.0,0.0,-2.739902407730416,-0.6101615945485208
18DD19941013,2.1726595960269908,2.1726595960269908,2.640052586621573,0.0,1.063033238528656,-1.813222594259269,0.5366644982279877,8.790915923280995e-17,0.354169696121396,6.0,0.1090055927968832,0.0,-1.5619432327881682,-0.09052463928046861
18DD19990602,0.0,0.0,1.9118118715440184,0.0,0.31516711203009323,-1.1035513315410526,0.7600145266218977,-1.4760468320409201,0.31516711203009323,27.0,0.0,0.0,-0.4749555395204933,-1.5374519612512463
18DD20010206,-888.0,0.0,2.49421881920737,0.0,3.1698476192170713,0.9168766165269101,5.285922094726975,-1.8690936412123815,3.1698476192170713,1.0,0.0,0.0,0.91687661652691,-1.8690936412123813
18DD20040218,1.6144961256921915,1.6144961256921915,2.2309569247318097,0.0,1.421466098807937,-1.5223345532290966,0.5796608571600375,-3.3101658392905005e-16,0.2903478613379125,27.0,0.0,0.0,-1.1200938288415787,0.08832695980003158
18DD20040602,0.0,0.0,-1.71496398965611,0.0,0.501817053661433,1.6316003199254827,1.2993593460347037,2.322800206051847,0.501817053661433,25.0,0.0,0.0,2.5393392603965337,2.478821667637304
18DD20040821,8.500180022941551,0.5001800229415505,0.9972288294454675,8.0,1.3793780465709855,-0.44306833907217946,0.7475384791857236,-3.7046435857305057e-16,0.2655575672703553,27.0,0.0,0.0,0.04605517054537745,0.2394688012582977
18DD20050211,13.585708342280531,0.585708342280531,1.0223998394074754,13.0,2.393238442414748,-0.43079901862965436,0.9576676826108855,-2.222619056157461e-16,0.5496298707355493,28.0,0.0,0.0,0.5595370439313873,0.5788874649418
18DD20060130,-7.343668994211124,-7.343668994211124,-6.424131909046052,0.0,3.165431060246458,7.237326997723238,1.3496567006317668,3.1047070268149837e-16,0.7766064962153157,25.0,0.0,0.0,8.313367319789172,0.5471032073810577
18DD20060919,0.0,0.0,1.0018154404994053,0.0,0.2561476376869967,-0.6191929576518503,0.7795714289437392,-0.46821440964020156,0.2561476376869967,26.0,0.0,0.0,-0.5457035772422649,-0.16254264806383142
18DD20070208,0.0,0.0,2.134360917424913,0.0,0.576787290552771,-2.951792956743638,1.0529840977784843,-1.95541710785166,0.576787290552771,23.0,0.0,0.0,-3.0311217780135653,-1.8472251173436152
18DD20070530,0.0,0.0,4.166851546679008,0.0,0.5370320653740049,-5.57350209379763,1.654866610333354,-3.627564581181337,0.5370320653740049,23.0,0.0,0.0,-4.643950033275263,-3.041580246074186
18DD20070814,0.0,0.0,0.47898111435650603,0.0,0.49162739837151886,0.9087437102590454,0.571871514145994,0.13546635647275623,0.49162739837151886,17.0,0.0,0.0,0.9314679568479824,0.28975865573434195
18DD20080131,2.7859702577392915,2.7859702577392915,3.4110954357342798,0.0,1.6200413544908292,-3.051784569185654,0.7884786842059636,-1.6422229593334454e-16,0.32754473608980544,27.0,0.0,0.0,-2.6946833526545584,0.16448860142887103
18DD20080813,0.0,0.0,-2.1524569864236454,0.0,0.6355066627246518,1.2457213229528563,1.3423934328675127,2.0523115053222067,0.6355066627246518,28.0,0.0,0.0,2.002382123286159,2.8541778162942295
18DD20100202,-8.05193560823485,-8.05193560823485,-7.164244973654825,0.0,2.661258261895859,7.629236077887992,1.0272788585862442,-1.019673799417988e-15,0.6337825586270404,21.0,0.0,0.0,7.330696908724896,0.21715484857761744
18DD20100605,-6.150688304120739,-6.150688304120739,-5.980762131347467,0.0,2.0863325352892734,5.892406944530946,0.8140816467424921,-6.425117608229213e-17,0.5100517376505952,29.0,0.0,0.0,6.24758732572425,0.4541875898435525
18DD20140210,0.0,0.0,0.4064997815101297,0.0,0.41015542399486415,-0.572122753173974,0.8482887212469714,-0.12208186247889553,0.41015542399486415,27.0,0.0,0.0,-0.21779847378409747,0.5941990198493334
18DD20150210,0.0,0.0,1.2488872546643734,0.0,0.6421135062398294,-0.8918636887505806,1.0004501828847494,-0.9452941506490034,0.6421135062398294,27.0,0.0,0.0,-0.4090185825767761,-0.15785454533620652
18DD20150818,0.0,0.0,1.0877807759476052,0.0,0.6195406607975783,-0.18789529347007475,0.9560361337751042,-0.20749011629502281,0.6195406607975783,30.0,0.12347221469808169,0.0,-1.0814514009368135,-0.34577211160661186
18DD20160208,3.400028700258142,3.400028700258142,4.158700347505805,0.0,3.0489606358192733,-4.2204371445705995,1.2474671326783306,-1.5829746423006948e-15,0.8150425512788544,25.0,0.0,0.0,-4.3151814890595706,-0.18914783120976167
18DD20160605,0.0,0.0,3.8620943517771815,0.0,1.5457538303539131,-4.4956139049861825,2.6562217821813774,-4.135050668665164,1.5457538303539131,26.0,0.0,0.0,-4.462451611764586,-4.1901428502860725
18DD20160816,0.0,0.0,2.216239323274023,0.0,0.4954099372945217,-1.7955117263463258,0.940620101608484,-1.7190847143165102,0.4954099372945217,26.0,0.0,0.0,-3.129656227965291,-2.0275195544681557
18DD20170205,0.0,0.0,-1.1231122316662792,0.0,1.9283448265343197,3.663118062428717,3.280585064762646,3.8196888469777583,1.9283448265343197,26.0,-0.19987715589113283,0.0,4.008835584343031,4.147098705438281
18DD20170604,0.0,0.0,0.34243830427378374,0.0,0.40803526700824727,-0.7198131933547742,1.0039094988674593,0.18011534215253794,0.40803526700824727,21.0,0.0,0.0,-1.9714117641491213,0.8035280636675773
18DD20190205,-888.0,0.0,0.7239071160046514,0.0,2.0855586492918,1.7794886459208343,4.1774764995146025,-0.20224024392421316,2.0855586492918,2.0,0.0,0.0,2.1814621773040277,0.6132779292408089
18DD20190602,-888.0,0.0,1.7125777422072679,0.0,1.3493282915946787,1.0270206467526302,3.755865712467581,-1.2045367448214284,1.3493282915946787,2.0,0.0,0.0,1.2986064153368948,-0.6539586835773848
18EN19870330,0.0,0.0,0.869785459056547,0.0,0.7515337881512909,-0.24168887197773634,2.029455700149351,-0.558024642961673,0.7515337881512909,5.0,0.0,0.0,0.7442393769990775,-1.537895118126666
18HU19931105,0.0,0.0,0.380357152486257,0.0,0.5175566255259931,-0.21871699965284497,0.5686581883352817,-0.19543572692776104,0.5175566255259931,8.0,0.23829030012941743,0.0,0.10865627446648185,-0.7469202372608982
18HU19941012,0.0,0.0,2.156779493383224,0.0,0.7510816877037271,-1.661885875851183,1.0306599990631842,-2.1071960052529266,0.7510816877037271,7.0,0.0,0.0,-0.5049926554955195,-1.4299649101731222
18HU19950419,4.081221714057469,4.081221714057469,4.351532840464778,0.0,0.7680240748905648,-4.081221714057469,0.5430750314696433,-7.279997233687837e-16,0.5430750314696431,7.0,0.2662278234554784,0.22559360071923193,-3.8103122105833362,0.29419305045955524
18LU20180218,0.0,0.0,1.0453038394236709,0.0,1.4855773342366418,0.62367859257014,1.9161799428975825,0.6493213911316036,1.4855773342366418,23.0,0.0,0.0,1.0136199853006567,1.1773439961431607
18PZ19880502,0.0,0.0,-1.7590616690529373,0.0,1.4205876018399515,1.142961478975993,1.495543510745523,1.1930643332785509,1.4205876018399515,26.0,0.0,0.0,0.21439345524308928,-0.11259205031413567
18PZ19880628,-888.0,0.0,-2.6190219716181105,0.0,3.1698476192170713,3.7068027475657153,5.285922094726975,3.7068027475657153,3.1698476192170713,1.0,0.0,0.0,2.03130129352302,0.35579983948032456
18PZ19881129,-888.0,0.0,3.8972045549089316,0.0,2.2368315285137554,-3.568554603486238,4.3009348443513655,-2.8633524333918805,2.2368315285137554,3.0,0.0,0.0,-23.65056636422361,12.860784574001338
18PZ19890501,-888.0,0.0,0.8671062246901909,0.0,1.222187267977183,-0.2320922043194998,2.409856643220524,-0.045454327932686105,1.222187267977183,5.0,0.0,0.0,-2.264843359550565,-1.6598135217780863
18PZ19900509,0.0,0.0,-0.314376187542879,0.0,0.31343170801562686,1.1384635861429027,0.6197551180723816,0.6878038261496833,0.31343170801562686,28.0,0.0,0.0,1.8817024048158144,0.7226185038942696
18PZ19900822,0.0,0.0,-1.1202145450151633,0.0,1.014914779239049,3.5707633535169796,0.5679500225620496,2.4854381812334894,1.014914779239049,3.0,0.0,0.0,4.0823216912898275,1.237400331358259
29HE19920714,-2.5493135132723466,-2.5493135132723466,-2.204127953779448,0.0,1.7251185116247172,2.204127953779448,0.42164712644820346,4.471745715350088e-16,0.5045907447959304,10.0,0.0,0.0,2.0213364036230894,-0.9269483386887312
29HE19980730,0.0,0.0,-0.37190312636070955,0.0,0.22427330002737486,0.9746320579754757,1.0027595064466568,0.4967060204278203,0.22427330002737486,6.0,0.22784286793451397,0.0,0.9863424068324209,0.12642746866470492
316N19721011,-6.638855159098564,2.361144840901436,1.776423928864188,-9.0,3.9984209926244048,-1.9693238434880234,1.3102359742316925,-1.8691297946792295e-16,1.4138495366869188,6.0,-0.2329807021256498,-0.17740821080534508,-5.232015820928157,-5.573866795482821
316N19721105,-888.0,0.0,-3.606370419393276,0.0,3.1698476192170713,1.8796691041195162,5.285922094726975,1.8796691041195162,3.1698476192170713,1.0,0.0,0.0,-0.210229267591323,-2.300127639302162
316N19721204,-888.0,0.0,-2.2371246208950786,0.0,3.1698476192170713,0.5104233056213189,5.285922094726975,0.5104233056213189,3.1698476192170713,1.0,0.0,0.0,-1.57206885407637,-3.6545610137740594
316N19721231,0.0,0.0,0.8227458178263464,0.0,0.5170305349962651,0.2752117740779207,0.5255871826902244,0.17278439837123788,0.5170305349962651,13.0,0.0,0.0,0.9257472281770288,1.4674786651469582
316N19730211,-888.0,0.0,-3.286470302740215,0.0,4.250920893557938,3.316602711535934,5.168238567608455,3.2974799251477407,4.250920893557938,4.0,0.0,0.0,1.539395415263827,1.5549738898505034
316N19730312,-888.0,0.0,-9.117360255503522,0.0,3.1698476192170713,8.548946342069293,5.285922094726975,8.548946342069293,3.1698476192170713,1.0,0.0,0.0,5.89937403854517,3.2498017350210455
316N19831007,7.501555439865899,7.501555439865899,7.977021386309297,0.0,7.59498050834438,-6.4970803949256055,2.246990408013119,-3.138882091130064e-16,1.9601555265988067,15.0,0.0,0.0,-4.36215906909266,2.1976757123838664
316N19840111,11.73173038852794,-0.2682696114720606,0.41434619112636684,12.0,3.606597801309785,-0.029569995004858293,0.9609283513449757,-1.6264857428527868e-16,1.0875143134544074,13.0,0.0,0.0,1.0523337047170258,2.5347432721859895
316N19840203,4.902707882154031,-7.097292117845969,-6.353154534375453,12.0,4.4051771228711445,7.079612649114744,1.5771997189539826,0.0,1.5546070766901072,7.0,0.0,0.0,6.710846711195226,1.2306767744725537
316N19871123,-12.63902620362488,-1.6390262036248797,-1.745797387471993,-11.0,3.263156907011887,2.1351135079518047,0.9555078992460333,-1.845547336467203e-15,0.9437347074181348,9.0,0.0,0.0,2.8356202729399156,0.7707615731102808
316N19871218,-8.554869136624458,-8.554869136624458,-7.975265896707544,0.0,5.892590685303759,11.846898463072197,2.546093624937461,-3.37653401773885e-16,1.2444566935369008,7.0,0.0,0.0,14.151654346335965,-0.006746489102283315
316N19880129,8.049269214894895,8.049269214894895,8.2696917243114,0.0,3.295996368479868,-9.098800870424341,1.6720536860622446,-3.819388499592539e-16,0.6052637136126462,11.0,0.0,0.0,-11.851977721314842,-0.35653826436772623
316N19920502,0.0,0.0,-1.2685077125750506,0.0,0.4344258434623571,2.0258579973577366,0.35947996888134215,1.6524167085681252,0.4344258434623571,6.0,0.14657250030139746,0.0,2.8895816719282665,3.5131786795460673
316N19920530,0.0,0.0,-0.35801937276890783,0.0,0.4094014669466415,1.5705948192316839,0.4840690369979197,0.9373728175141642,0.4094014669466415,16.0,0.1610811407949979,0.0,2.0299210366190126,0.5566177149431827
316N19920713,0.0,0.0,-0.2819579167411377,0.0,1.030125625013189,1.1836742439717758,1.030125625013189,1.1836742439717758,1.030125625013189,5.0,0.1813377561697728,0.1785808298197345,1.6585005232807792,2.0635748764595703
316N19921006,2.2716919105763744,2.2716919105763744,2.682203577545334,0.0,0.9177022866102712,-2.2716919105763744,0.6489135099725233,-4.0747476318973577e-16,0.6489135099725233,8.0,0.09987291791380504,0.0,-1.9050848635840862,0.32793268767755046
316N19921204,0.0,0.0,2.036042482505763,0.0,0.5202307761022198,-1.0832015239215589,0.6887533053089954,-1.685410616590162,0.5202307761022198,10.0,0.11152952281630588,0.0691745168350045,-1.0536938129647369,-1.9860961758040099
316N19930222,0.0,0.0,-0.2998909276900754,0.0,1.1461062526051957,0.7710137812611557,1.1461062526051957,0.7710137812611557,1.1461062526051957,9.0,0.19244415874588267,0.0,1.2790426757237194,1.3321842947303584
316N19940403,0.0,0.0,-0.7382611866866942,0.0,0.7275298733681389,1.0953865377180707,0.9432940445010906,0.40548341435324986,0.7275298733681389,15.0,0.0,0.0,0.6213467852874245,-1.3628350277989596
316N19941201,2.169485210200593,1.519485210200593,1.3122539481747149,0.65,2.977637013878367,-1.5035926194183138,0.830394815112158,-6.70583655492462e-16,0.8254549358768944,15.0,0.0,0.0,-1.3489973043914374,0.18925804254165646
316N19950124,2.4136802157790544,1.0836802157790546,0.0,1.33,3.0610708126063444,-0.14140155806127305,0.5915345943561355,-1.9042057766177436e-16,0.5297066932762481,14.0,0.0,0.0,-0.10632138491693277,0.05374979688113026
316N19950310,1.9392080743398121,0.21920807433981215,-0.19363615193907507,1.72,2.7043760892481825,0.44979121280721285,0.3576309132595539,-4.897173291832771e-16,0.5118357263474909,14.0,0.0,0.0,0.46355134274641746,-0.0938272478209843
316N19950423,2.760126825508706,0.34012682550870615,-0.5962091346544321,2.42,2.038830039328048,0.35594849232022674,0.6203811134061753,-4.858461158993616e-16,0.5103662931050326,11.0,0.10246931543819365,0.0,0.807395522067314,0.06628945717364972
316N19950611,2.030175580696547,0.045175580696546966,-0.32025789865156473,1.985,5.435163942984317,-0.5166064578873895,1.2926766302215698,5.178253734502087e-16,0.4681716088342701,8.0,0.0,0.0,-1.7864804669352194,0.08974440549260687
316N19950715,2.031390995301737,-0.3902756713649329,-0.10148065991712568,2.42166666666667,7.7975796989358885,2.06408071207627,1.5077297914803793,6.089583552793466e-16,0.3384780235658295,7.0,0.0,0.0,2.1673297464672543,0.0329198999360716
