Adjustments,expocode
-2.02944229444842,49UP20141112
-3.00573819927774,49UP20150110
-5.1984712832508,49UP20150228
-2.6134475542812,49UP20150408
-4.19070688759853,49UP20150426
-3.46536702421589,49UP20150604
-2.62116662995934,49UP20150627
-2.51818828793262,49UP20150724
-5.3931596276961,49UP20151115
-5.85525705666978,49UP20160109
-3.53095427007965,49UP20160227
-3.9634362963766,49UP20160408
0.164273860780246,49UP20160427
-0.766305506178243,49UP20160608
-2.71760746423786,49UP20160703
-6.85171704063323,49UP20161021
-3.47834123194703,49UP20170107
-3.11039892263267,49UP20170201
-0,49UP20170425
-1.79373950287465,49UP20170623
0.498174376567351,49UP20170815
-2.10910287859201,49UP20171125
-1.74565775123488,49UP20180110
-2.80479174940536,49UP20180228
-2.47643928481783,49UP20180501
-3.95535694113822,49UP20180614
-3.99646475264201,49UP20180806
-3.83668535420014,49UP20181122
-4.13213241710242,49UP20181206
-2.24763490257684,49UP20190110
-4.77393295118254,49UP20190228
-4.97810007361194,49UP20190408
-5.35529115011498,49UP20190516
-3.21460380323849,49UP20190612
-3.22658133061138,49UP20190811
-1.17406582773164,49UP20191125
-2.64770659030465,49UP20200227
-1.0237147464342,49UP20200605
-1.91997471187112,49UP20200730
-4.39138172679782,49UP20201019
-0.607586244488263,49UP20210113
-0.938981471320207,49UP20210301
-0.213340790342556,49UP20210425
-2.15198741316992,49UP20210728
-2.20169243132625,49UP20210827
-0.323604770869477,49UP20210920
0.281528798671807,49UP20220727
-1.4278399346714,49UP20220824
-2.21117521841571,49UP20220929
3.08264881468147,49WA19960516
-0,49WA20021107
-0,49WA20030905
-0,49WA20040924
-0,49WA20060301
-0,49XK19940106
-0,49XK19940212
-0,49XK19940216
-0,49XK19960617
-0,49XK19971129
-0,49ZS19921203
1.95860106269919,58A119890214
-0.327989538454188,61TG20020206
-0,61TG20030217
-0,64PE19960618
-0,64PE20071026
1.40162948777435,64PE20100428
3.69128670498537,64PE20100611
7.37425763088358,64TR19890731
2.46255191653515,64TR19900417
-0,67SL19881117
3.25364781859109,740H20081226
1.90103533087382,740H20090203
3.51029746214641,740H20090307
2.129499411978,740H20111224
2.69881877685976,740H20180228
-0,74AB19871112
-0,74AB19900528
-0,74AB19910501
4.20552683802338,74AB20020301
8.77808172285765,74AB20050501
4.18378351262322,74AB20050516
-0,74DI19890511
-0,74DI19890612
-0,74DI19890716
-0,74DI19900515
-1.11877282194096,74DI19900612
-0,74DI19921222
-0,74DI19930206
-0,74DI19940219
-0,74DI19950106
-0,74DI19970807
-0,74DI19980423
4.27149822787781,74DI20040404
-0,74DI20041103
-0,74DI20041213
3.79010006627174,74DI20100106
-0,74DI20110606
-0,74DI20110715
1.43609374959614,74EQ20101018
5.00737115531716,74EQ20151206
0.662932287601737,74EQ20191202
-0,74JC19950320
-0,74JC19990315
-0,74JC20001121
13.3097312345964,74JC20071231
2.94841898655931,74JC20100319
-0,74JC20150110
-0,74JC20151217
-0,74JC20161110
1.93486503116266,74JC20181103
-0,76XL20080730
-0,76XL20120710
-0,76XL20150203
-0,77DN20050730
-0,90AV20041104
4.02758797980787,90BM19930830
-0,90CI19990827
-0,90CI20000602
-0,90CT19930911
1.90857589050558,90KD19920214
-0,90MS19811009
-0,91AA20171209
-0,CARBOGIB2005
-0,OMEX2
